id,cliente_id,promocao_id,shopping_id,pontos_totais,pontos_unitarios,quantidade_numeros,cliente_saldo_anterior,cliente_saldo_posterior,status,data_resgate,shopping_sigla
1,100602,1,2,100,100,1,10099,9999,Resgatado,2026-03-16 13:28:36,BS
2,24936,1,1,1200,100,12,3000,1800,Resgatado,2026-03-16 14:42:19,CS
3,100602,1,2,100,100,1,9999,9899,Resgatado,2026-03-17 07:30:39,BS
4,100602,1,2,100,100,1,9899,9799,Resgatado,2026-03-17 09:01:02,BS
5,24936,1,1,1800,100,18,1800,0,Resgatado,2026-03-17 17:08:39,CS
6,24936,1,3,950,100,11,3292,2342,Resgatado,2026-03-17 17:13:54,NK
7,24936,1,3,100,100,1,2192,2092,Resgatado,2026-03-17 17:14:37,NK
8,24936,1,5,100,100,1,3000,2900,Resgatado,2026-03-17 17:50:58,GS
9,225413,1,1,32,100,1,3289,3257,Resgatado,2026-03-18 10:57:51,CS
10,513677,1,1,100,100,1,800,700,Resgatado,2026-03-18 11:12:58,CS
11,513677,1,1,100,100,1,700,600,Resgatado,2026-03-18 11:14:58,CS
12,513677,1,1,100,100,1,600,500,Resgatado,2026-03-18 11:20:22,CS
13,513677,1,1,100,100,1,500,400,Resgatado,2026-03-18 11:26:42,CS
14,513677,1,1,100,100,1,400,300,Resgatado,2026-03-18 11:29:00,CS
15,24936,1,4,200,100,2,1500,1300,Resgatado,2026-03-18 11:35:19,NR
16,100602,1,2,100,100,1,9799,9699,Resgatado,2026-03-18 13:43:45,BS
17,225413,1,1,62,100,1,3189,3127,Resgatado,2026-03-18 13:51:59,CS
18,24936,1,1,200,100,2,3000,2800,Resgatado,2026-03-19 07:02:16,CS
19,93647,1,1,100,100,1,678,578,Resgatado,2026-03-19 07:07:13,CS
20,196918,1,3,667,100,9,7998,7331,Resgatado,2026-03-19 07:07:27,NK
21,493691,1,5,1,100,1,467,466,Resgatado,2026-03-19 07:09:47,GS
22,185929,1,6,62,100,1,110,48,Resgatado,2026-03-19 07:21:57,NS
23,225413,1,1,100,100,1,3089,2989,Resgatado,2026-03-19 07:23:32,CS
24,106584,1,1,2,100,5,5647,5645,Resgatado,2026-03-19 07:27:00,CS
25,113949,1,2,621,100,60,16717,16096,Resgatado,2026-03-19 07:34:50,BS
26,198683,1,4,19,100,10,7393,7374,Resgatado,2026-03-19 07:35:37,NR
27,236760,1,4,92,100,42,4821,4729,Resgatado,2026-03-19 07:37:59,NR
28,236760,1,3,160,100,6,692,532,Resgatado,2026-03-19 07:39:08,NK
29,131249,1,2,451,100,10,8325,7874,Resgatado,2026-03-19 07:39:10,BS
30,29774,1,2,408,100,10,4085,3677,Resgatado,2026-03-19 07:39:47,BS
31,104442,1,1,17,100,4,856,839,Resgatado,2026-03-19 07:42:25,CS
32,434567,1,1,183,100,50,5080,4897,Resgatado,2026-03-19 07:42:45,CS
33,433736,1,2,10,100,10,3327,3317,Resgatado,2026-03-19 07:46:40,BS
34,136052,1,2,123,100,2,3040,2917,Resgatado,2026-03-19 07:54:52,BS
35,408890,1,3,41,100,9,3934,3893,Resgatado,2026-03-19 08:02:49,NK
36,408890,1,3,12,100,2,3034,3022,Resgatado,2026-03-19 08:04:12,NK
37,408890,1,3,5,100,8,2834,2829,Resgatado,2026-03-19 08:05:30,NK
38,125286,1,3,195,100,15,8634,8439,Resgatado,2026-03-19 08:13:02,NK
39,86514,1,1,100,100,1,5127,5027,Resgatado,2026-03-19 08:14:31,CS
40,395615,1,6,10,100,4,4210,4200,Resgatado,2026-03-19 08:29:00,NS
41,433496,1,6,700,100,7,739,39,Resgatado,2026-03-19 08:29:03,NS
42,26373,1,3,223,100,10,5882,5659,Resgatado,2026-03-19 08:29:04,NK
43,29605,1,3,416,100,22,2283,1867,Resgatado,2026-03-19 08:41:25,NK
44,382355,1,1,300,100,30,3077,77,Resgatado,2026-03-19 08:45:01,CS
45,512645,1,4,18,100,79,8022,8004,Resgatado,2026-03-19 08:46:11,NR
46,445271,1,1,1600,100,16,2549,949,Resgatado,2026-03-19 08:46:49,CS
47,82650,1,1,40,100,3,6571,6531,Resgatado,2026-03-19 08:48:36,CS
48,361871,1,4,90,100,78,7895,7805,Resgatado,2026-03-19 08:48:54,NR
49,231789,1,4,26700,100,267,26733,33,Resgatado,2026-03-19 08:51:36,NR
50,361909,1,4,280,100,121,12155,11875,Resgatado,2026-03-19 08:58:59,NR
51,152700,1,1,329,100,10,1253,924,Resgatado,2026-03-19 08:59:47,CS
52,311728,1,1,500,100,5,1261,761,Resgatado,2026-03-19 09:01:11,CS
53,361884,1,4,13400,100,134,13464,64,Resgatado,2026-03-19 09:01:40,NR
54,72359,1,3,346,100,5,4612,4266,Resgatado,2026-03-19 09:11:26,NK
55,27354,1,1,1,100,3,378,377,Resgatado,2026-03-19 09:13:19,CS
56,62517,1,1,1906,100,50,9647,7741,Resgatado,2026-03-19 09:13:28,CS
57,55488,1,1,500,100,5,4274,3774,Resgatado,2026-03-19 09:15:05,CS
58,49545,1,1,621,100,24,4147,3526,Resgatado,2026-03-19 09:15:12,CS
59,513392,1,6,138,100,10,1986,1848,Resgatado,2026-03-19 09:27:07,NS
60,240003,1,1,169,100,10,1468,1299,Resgatado,2026-03-19 09:31:34,CS
61,414113,1,3,100,100,1,1959,1859,Resgatado,2026-03-19 09:38:26,NK
62,119113,1,2,2,100,6,8690,8688,Resgatado,2026-03-19 09:38:36,BS
63,414113,1,3,100,100,1,1859,1759,Resgatado,2026-03-19 09:38:58,NK
64,100796,1,1,38,100,30,4023,3985,Resgatado,2026-03-19 09:43:57,CS
65,414113,1,3,135,100,2,1759,1624,Resgatado,2026-03-19 09:44:53,NK
66,153821,1,3,7,100,35,3593,3586,Resgatado,2026-03-19 09:45:19,NK
67,422207,1,3,59,100,3,1790,1731,Resgatado,2026-03-19 09:45:21,NK
68,125806,1,2,100,100,1,10803,10703,Resgatado,2026-03-19 09:45:37,BS
69,333070,1,2,153,100,2,8636,8483,Resgatado,2026-03-19 09:46:01,BS
70,87632,1,3,271,100,11,1425,1154,Resgatado,2026-03-19 09:46:55,NK
71,100796,1,1,64,100,5,1086,1022,Resgatado,2026-03-19 09:48:48,CS
72,60875,1,6,100,100,1,621,521,Resgatado,2026-03-19 09:49:09,NS
73,14984,1,6,101,100,2,1505,1404,Resgatado,2026-03-19 09:51:29,NS
74,100796,1,1,9,100,3,586,577,Resgatado,2026-03-19 09:51:52,CS
75,321103,1,1,39,100,6,693,654,Resgatado,2026-03-19 09:53:09,CS
76,100796,1,1,25,100,2,286,261,Resgatado,2026-03-19 09:54:33,CS
77,85776,1,2,197,100,10,9299,9102,Resgatado,2026-03-19 09:56:03,BS
78,263943,1,2,100,100,1,2029,1929,Resgatado,2026-03-19 10:00:20,BS
79,236841,1,3,31,100,20,2118,2087,Resgatado,2026-03-19 10:04:30,NK
80,413063,1,3,94,100,4,454,360,Resgatado,2026-03-19 10:06:27,NK
81,222866,1,4,75,100,129,12984,12909,Resgatado,2026-03-19 10:09:50,NR
82,42187,1,2,200,100,2,7175,6975,Resgatado,2026-03-19 10:09:55,BS
83,22636,1,3,14,100,5,4476,4462,Resgatado,2026-03-19 10:12:11,NK
84,61465,1,5,560,100,24,3445,2885,Resgatado,2026-03-19 10:19:23,GS
85,49545,1,1,479,100,10,1747,1268,Resgatado,2026-03-19 10:20:29,CS
86,341974,1,3,9,100,1,922,913,Resgatado,2026-03-19 10:26:12,NK
87,130425,1,4,365,100,25,2534,2169,Resgatado,2026-03-19 10:26:13,NR
88,129074,1,6,208,100,3,331,123,Resgatado,2026-03-19 10:29:20,NS
89,266,1,4,452,100,5,2925,2473,Resgatado,2026-03-19 10:34:15,NR
90,266,1,4,7,100,3,2425,2418,Resgatado,2026-03-19 10:34:55,NR
91,310398,1,2,171,100,3,8878,8707,Resgatado,2026-03-19 10:38:27,BS
92,202350,1,6,4,100,1,5259,5255,Resgatado,2026-03-19 10:40:29,NS
93,74046,1,3,5,100,2,867,862,Resgatado,2026-03-19 10:41:30,NK
94,280888,1,5,2,100,1,3344,3342,Resgatado,2026-03-19 10:51:05,GS
95,225741,1,3,100,100,1,1240,1140,Resgatado,2026-03-19 10:52:41,NK
96,486985,1,2,44,100,1,379,335,Resgatado,2026-03-19 10:53:44,BS
97,486985,1,2,100,100,1,279,179,Resgatado,2026-03-19 10:55:10,BS
98,126961,1,6,100,100,1,3511,3411,Resgatado,2026-03-19 10:58:59,NS
99,126961,1,6,100,100,1,3411,3311,Resgatado,2026-03-19 11:00:14,NS
100,2374,1,3,222,100,100,18995,18773,Resgatado,2026-03-19 11:06:07,NK
101,327360,1,1,50,100,2,2670,2620,Resgatado,2026-03-19 11:06:14,CS
102,151990,1,1,10,100,1,1346,1336,Resgatado,2026-03-19 11:07:12,CS
103,151990,1,1,49,100,4,1246,1197,Resgatado,2026-03-19 11:07:45,CS
104,93043,1,3,76,100,10,1970,1894,Resgatado,2026-03-19 11:14:20,NK
105,2487,1,4,100,100,1,8663,8563,Resgatado,2026-03-19 11:20:35,NR
106,53716,1,3,1500,100,15,1598,98,Resgatado,2026-03-19 11:24:13,NK
108,441616,1,3,100,100,1,2574,2474,Resgatado,2026-03-19 11:34:40,NK
107,334240,1,3,61,100,1,649,588,Resgatado,2026-03-19 11:34:40,NK
109,309298,1,6,4,100,5,3878,3874,Resgatado,2026-03-19 11:35:31,NS
110,309298,1,6,20,100,3,3378,3358,Resgatado,2026-03-19 11:36:48,NS
111,116902,1,6,12,100,3,306,294,Resgatado,2026-03-19 11:38:22,NS
112,2487,1,2,100,100,1,7762,7662,Resgatado,2026-03-19 11:38:54,BS
113,159524,1,3,100,100,1,10714,10614,Resgatado,2026-03-19 11:42:28,NK
114,104820,1,2,200,100,2,7738,7538,Resgatado,2026-03-19 11:46:04,BS
115,205336,1,6,100,100,1,289,189,Resgatado,2026-03-19 11:48:26,NS
116,372968,1,5,1000,100,10,6521,5521,Resgatado,2026-03-19 11:48:27,GS
117,153070,1,3,28,100,2,290,262,Resgatado,2026-03-19 12:00:39,NK
118,153070,1,4,52,100,1,181,129,Resgatado,2026-03-19 12:01:11,NR
119,237887,1,4,46,100,2,1525,1479,Resgatado,2026-03-19 12:09:10,NR
120,474716,1,5,140,100,75,7531,7391,Resgatado,2026-03-19 12:10:10,GS
121,158439,1,2,200,100,2,5218,5018,Resgatado,2026-03-19 12:10:34,BS
122,514045,1,1,27,100,1,550,523,Resgatado,2026-03-19 12:23:58,CS
123,5529,1,3,80,100,6,8709,8629,Resgatado,2026-03-19 12:31:43,NK
124,124587,1,3,200,100,2,40192,39992,Resgatado,2026-03-19 12:32:42,NK
125,124587,1,3,52,100,5,39992,39940,Resgatado,2026-03-19 12:33:47,NK
126,119262,1,3,84,100,10,13326,13242,Resgatado,2026-03-19 12:33:57,NK
127,5529,1,3,31,100,5,8167,8136,Resgatado,2026-03-19 12:35:03,NK
128,13824,1,3,276,100,5,2747,2471,Resgatado,2026-03-19 12:36:09,NK
129,273143,1,2,254,100,8,806,552,Resgatado,2026-03-19 12:39:30,BS
130,250307,1,6,94,100,7,2036,1942,Resgatado,2026-03-19 12:42:08,NS
131,13824,1,4,87,100,5,2389,2302,Resgatado,2026-03-19 12:43:13,NR
132,433434,1,5,96,100,1,5324,5228,Resgatado,2026-03-19 12:44:26,GS
133,422338,1,1,300,100,3,612,312,Resgatado,2026-03-19 12:55:33,CS
134,141278,1,4,92,100,3,1595,1503,Resgatado,2026-03-19 13:01:04,NR
135,236818,1,4,404,100,10,3562,3158,Resgatado,2026-03-19 13:01:27,NR
136,172192,1,3,28,100,5,4628,4600,Resgatado,2026-03-19 13:03:11,NK
137,463175,1,3,300,100,3,6298,5998,Resgatado,2026-03-19 13:07:42,NK
138,168087,1,3,500,100,5,5077,4577,Resgatado,2026-03-19 13:11:13,NK
139,462433,1,3,13,100,3,1081,1068,Resgatado,2026-03-19 13:20:33,NK
140,36677,1,3,266,100,15,3764,3498,Resgatado,2026-03-19 13:27:05,NK
141,162895,1,3,62,100,6,3646,3584,Resgatado,2026-03-19 13:27:16,NK
142,263826,1,3,7,100,1,3220,3213,Resgatado,2026-03-19 13:30:13,NK
143,232190,1,6,41,100,1,2445,2404,Resgatado,2026-03-19 13:33:56,NS
144,347207,1,3,74,100,10,5734,5660,Resgatado,2026-03-19 13:35:06,NK
145,232190,1,6,100,100,1,2428,2328,Resgatado,2026-03-19 13:35:26,NS
146,83775,1,2,450,100,10,13063,12613,Resgatado,2026-03-19 13:35:58,BS
147,69659,1,1,27,100,27,5724,5697,Resgatado,2026-03-19 13:37:44,CS
148,429833,1,1,46,100,26,4628,4582,Resgatado,2026-03-19 13:39:33,CS
149,429833,1,1,180,100,20,2028,1848,Resgatado,2026-03-19 13:41:05,CS
150,68344,1,4,18,100,65,6587,6569,Resgatado,2026-03-19 13:42:23,NR
151,69659,1,1,45,100,20,3024,2979,Resgatado,2026-03-19 13:43:48,CS
152,403186,1,1,3500,100,35,4585,4545,Resgatado,2026-03-19 13:46:26,CS
153,462201,1,1,84,100,2,4493,4409,Resgatado,2026-03-19 13:46:43,CS
154,81858,1,1,365,100,56,5635,5270,Resgatado,2026-03-19 13:47:23,CS
155,418318,1,5,7,100,1,1659,1652,Resgatado,2026-03-19 13:49:58,GS
156,418318,1,5,33,100,15,1559,1526,Resgatado,2026-03-19 13:57:23,GS
157,418318,1,5,41,100,1,109,68,Resgatado,2026-03-19 14:00:39,GS
158,237106,1,3,300,100,3,331,31,Resgatado,2026-03-19 14:02:31,NK
159,513311,1,3,200,100,2,464,264,Resgatado,2026-03-19 14:06:58,NK
160,270687,1,5,3114,100,31,3146,32,Resgatado,2026-03-19 14:12:15,GS
161,129461,1,6,800,100,8,2867,2067,Resgatado,2026-03-19 14:12:54,NS
162,5550,1,3,500,100,5,1945,1445,Resgatado,2026-03-19 14:19:51,NK
163,299327,1,1,600,100,6,1676,1076,Resgatado,2026-03-19 14:23:21,CS
164,611,1,2,191,100,10,16363,15158,Resgatado,2026-03-19 14:25:07,BS
165,61733,1,1,100,100,1,2598,2498,Resgatado,2026-03-19 14:26:29,CS
166,105975,1,1,1000,100,10,1370,370,Resgatado,2026-03-19 14:33:50,CS
167,442281,1,3,1000,100,10,3107,2107,Resgatado,2026-03-19 14:36:37,NK
168,121085,1,3,5000,100,50,17382,12382,Resgatado,2026-03-19 14:42:48,NK
169,121085,1,3,7000,100,70,12382,5382,Resgatado,2026-03-19 14:44:00,NK
170,335271,1,1,300,100,3,1332,1032,Resgatado,2026-03-19 14:44:24,CS
171,200669,1,3,500,100,5,1514,1014,Resgatado,2026-03-19 15:10:48,NK
172,404423,1,1,100,100,1,1202,1102,Resgatado,2026-03-19 15:23:21,CS
173,355702,1,6,600,100,6,7937,7337,Resgatado,2026-03-19 15:37:40,NS
174,148715,1,3,100,100,1,6701,6601,Resgatado,2026-03-19 15:39:23,NK
175,11494,1,3,1000,100,10,8791,7791,Resgatado,2026-03-19 15:45:52,NK
176,230421,1,4,1000,100,10,5017,4017,Resgatado,2026-03-19 15:46:22,NR
177,126961,1,6,100,100,1,3311,3211,Resgatado,2026-03-19 15:46:31,NS
178,126961,1,6,1000,100,10,3211,2211,Resgatado,2026-03-19 15:47:51,NS
179,301449,1,4,7600,100,76,7686,86,Resgatado,2026-03-19 15:51:42,NR
180,431624,1,4,8600,100,86,8621,21,Resgatado,2026-03-19 15:52:58,NR
181,359201,1,4,10000,100,100,35593,25593,Resgatado,2026-03-19 15:54:23,NR
182,21799,1,3,1000,100,10,2650,1650,Resgatado,2026-03-19 15:58:11,NK
184,20928,1,3,200,100,2,6636,6436,Resgatado,2026-03-19 16:00:12,NK
183,350324,1,1,500,100,5,2069,1569,Resgatado,2026-03-19 16:00:12,CS
185,73555,1,1,300,100,3,9301,9001,Resgatado,2026-03-19 16:00:18,CS
186,21799,1,4,100,100,1,1409,1309,Resgatado,2026-03-19 16:01:42,NR
187,21799,1,4,900,100,9,1309,409,Resgatado,2026-03-19 16:03:16,NR
188,73555,1,1,3300,100,33,9001,5701,Resgatado,2026-03-19 16:06:04,CS
189,134741,1,3,200,100,2,7384,7184,Resgatado,2026-03-19 16:08:45,NK
190,128023,1,1,100,100,1,1947,1847,Resgatado,2026-03-19 16:23:25,CS
191,22025,1,4,1900,100,19,3186,1286,Resgatado,2026-03-19 16:30:46,NR
192,124310,1,3,500,100,5,13746,13246,Resgatado,2026-03-19 16:35:40,NK
193,111660,1,3,600,100,6,4469,3869,Resgatado,2026-03-19 16:41:03,NK
194,250973,1,5,100,100,1,3707,3607,Resgatado,2026-03-19 16:47:20,GS
195,497073,1,5,300,100,3,3359,3059,Resgatado,2026-03-19 16:47:31,GS
196,55416,1,1,1300,100,13,1335,35,Resgatado,2026-03-19 16:54:36,CS
197,101861,1,2,2000,100,20,7346,5346,Resgatado,2026-03-19 16:56:28,BS
198,127402,1,5,500,100,5,11118,10618,Resgatado,2026-03-19 16:56:29,GS
199,127402,1,5,100,100,1,10618,10518,Resgatado,2026-03-19 16:58:08,GS
200,33817,1,4,100,100,1,1974,1874,Resgatado,2026-03-19 16:58:29,NR
201,100576,1,3,100,100,1,6102,6002,Resgatado,2026-03-19 16:58:31,NK
202,107452,1,2,3000,100,30,8465,5465,Resgatado,2026-03-19 16:58:43,BS
203,100576,1,3,100,100,1,6002,5902,Resgatado,2026-03-19 16:59:32,NK
204,407372,1,2,300,100,3,2559,2259,Resgatado,2026-03-19 17:02:40,BS
205,407372,1,2,1900,100,19,2259,359,Resgatado,2026-03-19 17:06:22,BS
206,143009,1,1,1000,100,10,4219,3219,Resgatado,2026-03-19 17:06:54,CS
207,275835,1,4,6200,100,62,11255,5055,Resgatado,2026-03-19 17:09:59,NR
208,339891,1,3,100,100,1,1870,1770,Resgatado,2026-03-19 17:10:37,NK
209,29669,1,3,2500,100,25,2856,356,Resgatado,2026-03-19 17:11:09,NK
210,29669,1,3,300,100,3,356,56,Resgatado,2026-03-19 17:12:24,NK
211,82432,1,1,300,100,3,1238,938,Resgatado,2026-03-19 17:23:57,CS
212,55140,1,6,200,100,2,1938,1738,Resgatado,2026-03-19 17:25:56,NS
213,94503,1,1,4900,100,49,4993,93,Resgatado,2026-03-19 17:26:47,CS
214,22135,1,3,5500,100,55,5582,82,Resgatado,2026-03-19 17:28:54,NK
215,237421,1,5,1700,100,17,1793,93,Resgatado,2026-03-19 17:30:45,GS
216,241829,1,3,100,100,1,6543,6443,Resgatado,2026-03-19 17:31:38,NK
217,224144,1,3,1000,100,10,5865,4865,Resgatado,2026-03-19 17:33:20,NK
218,61953,1,1,700,100,7,750,50,Resgatado,2026-03-19 17:35:27,CS
219,153821,1,3,600,100,6,637,37,Resgatado,2026-03-19 17:38:39,NK
220,514098,1,5,300,100,3,2180,1880,Resgatado,2026-03-19 17:52:03,GS
221,22387,1,3,100,100,1,12579,12479,Resgatado,2026-03-19 17:59:39,NK
222,166781,1,2,500,100,5,15965,15465,Resgatado,2026-03-19 18:01:38,BS
223,22387,1,3,100,100,1,12479,12379,Resgatado,2026-03-19 18:02:55,NK
224,37452,1,2,500,100,5,35307,34807,Resgatado,2026-03-19 18:04:29,BS
225,98962,1,2,4500,100,45,4583,83,Resgatado,2026-03-19 18:06:18,BS
226,196327,1,6,1300,100,13,5976,4676,Resgatado,2026-03-19 18:09:56,NS
227,37452,1,2,2700,100,27,34807,32107,Resgatado,2026-03-19 18:10:35,BS
228,196680,1,6,2500,100,25,2548,48,Resgatado,2026-03-19 18:12:37,NS
229,133754,1,3,1200,100,12,1287,87,Resgatado,2026-03-19 18:16:01,NK
230,345066,1,1,400,100,4,3250,2850,Resgatado,2026-03-19 18:23:25,CS
231,22387,1,3,200,100,2,13341,13141,Resgatado,2026-03-19 18:25:56,NK
232,440178,1,5,2900,100,29,7177,4277,Resgatado,2026-03-19 18:27:30,GS
233,215849,1,2,600,100,6,955,355,Resgatado,2026-03-19 18:27:31,BS
234,22387,1,2,200,100,2,3480,3280,Resgatado,2026-03-19 18:27:48,BS
235,236714,1,3,1300,100,13,1818,518,Resgatado,2026-03-19 18:35:13,NK
236,298879,1,3,100,100,1,263,163,Resgatado,2026-03-19 18:35:15,NK
237,119262,1,3,6300,100,63,12359,6059,Resgatado,2026-03-19 18:37:17,NK
238,236714,1,4,800,100,8,863,63,Resgatado,2026-03-19 18:37:24,NR
239,133425,1,3,300,100,3,4380,4080,Resgatado,2026-03-19 18:40:09,NK
240,133425,1,3,300,100,3,4080,3780,Resgatado,2026-03-19 18:46:38,NK
241,133425,1,2,900,100,9,999,99,Resgatado,2026-03-19 18:50:03,BS
242,167220,1,5,900,100,9,5941,5041,Resgatado,2026-03-19 18:51:04,GS
243,100572,1,4,100,100,1,2272,2172,Resgatado,2026-03-19 18:52:39,NR
244,2374,1,2,10000,100,100,19453,9453,Resgatado,2026-03-19 18:53:01,BS
245,57576,1,5,1000,100,10,7943,6943,Resgatado,2026-03-19 18:55:33,GS
246,186102,1,2,300,100,3,13343,13043,Resgatado,2026-03-19 18:56:05,BS
247,260824,1,3,1000,100,10,2092,1092,Resgatado,2026-03-19 19:00:10,NK
248,53831,1,6,100,100,1,5347,5247,Resgatado,2026-03-19 19:03:57,NS
249,209405,1,4,1000,100,10,4363,3363,Resgatado,2026-03-19 19:11:06,NR
250,335438,1,1,2300,100,23,2319,19,Resgatado,2026-03-19 19:13:47,CS
251,209405,1,4,1000,100,10,3363,2363,Resgatado,2026-03-19 19:15:02,NR
252,202478,1,3,200,100,2,496,296,Resgatado,2026-03-19 19:17:10,NK
253,219748,1,1,3400,100,34,3435,35,Resgatado,2026-03-19 19:17:42,CS
254,422338,1,1,200,100,2,312,112,Resgatado,2026-03-19 19:20:59,CS
255,460844,1,3,100,100,1,3048,2948,Resgatado,2026-03-19 19:26:19,NK
256,460844,1,3,200,100,2,2948,2748,Resgatado,2026-03-19 19:27:12,NK
257,198683,1,3,600,100,6,7178,6578,Resgatado,2026-03-19 19:35:35,NK
258,409248,1,2,100,100,1,490,390,Resgatado,2026-03-19 19:36:19,BS
259,409248,1,2,300,100,3,390,90,Resgatado,2026-03-19 19:37:57,BS
260,349711,1,3,1000,100,10,1881,881,Resgatado,2026-03-19 19:40:42,NK
261,514628,1,3,100,100,1,130,30,Resgatado,2026-03-19 19:43:06,NK
262,347623,1,2,400,100,4,3574,3174,Resgatado,2026-03-19 19:44:42,BS
263,243838,1,5,100,100,1,254,154,Resgatado,2026-03-19 19:50:45,GS
264,253787,1,5,100,100,1,3380,3280,Resgatado,2026-03-19 19:55:49,GS
265,323157,1,3,400,100,4,6339,5939,Resgatado,2026-03-19 19:58:39,NK
266,323157,1,3,800,100,8,5939,5139,Resgatado,2026-03-19 20:00:12,NK
267,262754,1,1,1000,100,10,6093,5093,Resgatado,2026-03-19 20:01:22,CS
268,119345,1,3,100,100,1,4534,4434,Resgatado,2026-03-19 20:14:39,NK
269,119345,1,2,100,100,1,7405,7305,Resgatado,2026-03-19 20:15:41,BS
270,117735,1,2,3000,100,30,37132,34132,Resgatado,2026-03-19 20:17:05,BS
271,117735,1,2,3000,100,30,34132,31132,Resgatado,2026-03-19 20:18:11,BS
272,117735,1,2,3000,100,30,31132,28132,Resgatado,2026-03-19 20:19:19,BS
273,117735,1,2,1000,100,10,28132,27132,Resgatado,2026-03-19 20:19:59,BS
274,117735,1,2,3000,100,30,27132,24132,Resgatado,2026-03-19 20:21:24,BS
275,117735,1,2,2000,100,20,24132,22132,Resgatado,2026-03-19 20:23:17,BS
276,338710,1,6,100,100,1,7089,6989,Resgatado,2026-03-19 20:29:54,NS
277,338710,1,6,100,100,1,6989,6889,Resgatado,2026-03-19 20:30:26,NS
278,308755,1,5,1100,100,11,12845,11745,Resgatado,2026-03-19 20:31:17,GS
279,338710,1,6,500,100,5,6889,6389,Resgatado,2026-03-19 20:31:26,NS
280,338710,1,6,300,100,3,6389,6089,Resgatado,2026-03-19 20:32:22,NS
